1	3 
2	20 
3	5 
4	18 
5	7 
6	20 
7	2 
8	3 
9	10 
10	12 
11	19 
12	17 
13	16 
14	1 
15	1 
16	13 
17	12 
18	11 
19	17 
20	9 
21	10 
22	13 
23	5 
24	11 
25	11 
26	2 
27	7 
28	2 
29	21 
30	1 
31	3 
32	12 
33	4 
34	19 
35	8 
36	11 
37	22 
38	1 
39	11 
40	20 
41	17 
42	16 
43	22 
44	18 
45	1 
46	15 
47	21 
48	22 
49	3 
50	14 
51	12 
52	14 
53	14 
54	4 
55	9 
56	14 
57	3 
58	9 
59	14 
60	21 
61	9 
62	19 
63	15 
64	22 
65	6 
66	9 
67	22 
68	2 
69	3 
70	14 
71	22 
72	17 
73	1 
74	1 
75	3 
76	21 
77	14 
78	9 
79	21 
80	19 
81	1 
82	8 
83	12 
84	22 
85	18 
86	3 
87	3 
88	8 
89	8 
90	14 
91	8 
92	7 
93	4 
94	14 
95	7 
96	4 
97	19 
98	5 
99	22 
100	11 
101	14 
102	11 
103	7 
104	17 
105	8 
106	3 
107	17 
108	19 
109	15 
110	3 
111	4 
112	17 
113	11 
114	6 
115	19 
116	19 
117	12 
118	14 
119	13 
120	14 
121	3 
122	10 
123	22 
124	17 
125	8 
126	21 
127	19 
128	14 
129	21 
130	2 
131	22 
132	16 
133	3 
134	19 
135	19 
136	16 
137	19 
138	4 
139	13 
140	11 
141	1 
142	16 
143	2 
144	4 
145	22 
146	17 
147	12 
148	7 
149	8 
150	3 
151	3 
152	17 
153	22 
154	17 
155	13 
156	1 
157	18 
158	17 
159	22 
160	14 
161	6 
162	9 
163	11 
164	12 
165	8 
166	1 
167	7 
168	2 
169	19 
170	12 
171	1 
172	17 
173	11 
174	13 
175	11 
176	14 
177	22 
178	17 
179	19 
180	17 
181	2 
182	20 
183	13 
184	4 
185	8 
186	11 
187	10 
188	7 
189	16 
190	14 
191	3 
192	17 
193	19 
194	11 
195	17 
196	21 
197	21 
198	13 
199	2 
200	1 
201	13 
202	14 
203	8 
204	7 
205	21 
206	8 
207	3 
208	21 
209	14 
210	3 
211	21 
212	21 
213	13 
214	19 
215	8 
216	9 
217	22 
218	17 
219	19 
220	4 
221	8 
222	2 
223	19 
224	16 
225	17 
226	21 
227	8 
228	22 
229	18 
230	18 
231	7 
232	3 
233	22 
234	17 
235	1 
236	17 
237	10 
238	21 
239	20 
240	8 
241	7 
242	4 
243	1 
244	19 
245	14 
246	8 
247	1 
248	8 
249	22 
250	21 
251	2 
252	7 
253	11 
254	3 
255	8 
256	7 
257	3 
258	8 
259	19 
260	21 
261	21 
262	3 
263	3 
264	12 
265	21 
266	3 
267	22 
268	7 
269	2 
270	7 
271	4 
272	4 
273	14 
274	9 
275	16 
276	16 
277	3 
278	3 
279	10 
280	10 
281	16 
282	3 
283	1 
284	7 
285	15 
286	6 
287	17 
288	12 
289	12 
290	19 
291	11 
292	8 
293	18 
294	2 
295	17 
296	8 
297	13 
298	13 
299	7 
300	16 
301	8 
302	9 
303	3 
304	21 
305	4 
306	3 
307	16 
308	18 
309	2 
310	13 
311	14 
312	1 
313	5 
314	4 
315	7 
316	18 
317	2 
318	15 
319	8 
320	19 
321	17 
322	22 
323	6 
324	20 
325	13 
326	11 
327	18 
328	10 
329	18 
330	19 
331	11 
332	10 
333	12 
334	10 
335	6 
336	11 
337	1 
338	8 
339	13 
340	11 
341	19 
342	11 
343	15 
344	12 
345	12 
346	12 
347	2 
348	17 
349	16 
350	5 
351	11 
352	14 
353	9 
354	10 
355	20 
356	5 
357	20 
358	7 
359	14 
360	14 
361	14 
362	11 
363	8 
364	8 
365	8 
366	3 
367	2 
368	3 
369	8 
370	17 
371	7 
372	20 
373	14 
374	21 
375	3 
376	4 
377	22 
378	17 
379	22 
380	1 
381	21 
382	8 
383	4 
384	20 
385	3 
386	9 
387	21 
388	12 
389	11 
390	15 
391	8 
392	3 
393	4 5 
394	18 
395	3 
396	8 
397	21 
398	14 
399	1 3 
400	12 
401	19 
402	7 
403	16 
404	1 
405	14 
406	12 
407	3 
408	17 
409	15 21 
410	19 
411	16 
412	17 
413	12 
414	3 
415	13 
416	2 
417	7 
418	17 
419	7 
420	14 
421	19 
422	15 
423	10 
424	3 
425	7 
426	12 
427	22 
428	9 
429	22 
430	7 
431	21 
432	14 
433	22 
434	16 
435	11 
436	1 
437	1 
438	5 
439	22 
440	1 
441	19 
442	16 
443	22 
444	17 
445	22 
446	6 
447	19 
448	13 
449	1 
450	20 
451	6 
452	7 
453	21 
454	18 
455	18 
456	3 
457	2 
458	3 
459	19 
460	3 
461	11 
462	17 
463	21 
464	14 
465	13 
466	2 
467	15 
468	3 
469	12 
470	18 
471	22 
472	7 
473	7 
474	12 
475	8 
476	4 
477	8 
478	1 
479	8 
480	3 
481	17 
482	2 
483	17 
484	3 
485	3 
486	16 17 
487	13 
488	22 
489	17 
490	14 
491	1 
492	14 
